year,actor,film,is_winner,is_tie
2014,Jake Gyllenhaal,Nightcrawler,false,false
2014,David Oyelowo,Selma,false,false
2014,Eddie Redmayne,The Theory of Everything,false,false
2015,Leonardo DiCaprio,The Revenant,true,false
2015,Bryan Cranston,Trumbo,false,false
2015,Matt Damon,The Martian,false,false
2015,Johnny Depp,Black Mass,false,false
2015,Michael Fassbender,Steve Jobs,false,false
2015,Eddie Redmayne,The Danish Girl,false,false
2016,Casey Affleck,Manchester by the Sea,true,false
2016,Joel Edgerton,Loving,false,false
2016,Andrew Garfield,Hacksaw Ridge,false,false
2016,Ryan Gosling,La La Land,false,false
2016,Tom Hanks,Sully,false,false
2016,Denzel Washington,Fences,false,false
2017,Gary Oldman,Darkest Hour,true,false
2017,Timothée Chalamet,Call Me by Your Name,false,false
2017,Daniel Day-Lewis,Phantom Thread,false,false
2017,James Franco,The Disaster Artist,false,false
2017,Jake Gyllenhaal,Stronger,false,false
2017,Tom Hanks,The Post,false,false
2017,Daniel Kaluuya,Get Out,false,false
2018,Christian Bale,Vice,true,false
2018,Bradley Cooper,A Star Is Born,false,false
2018,Willem Dafoe,At Eternity's Gate,false,false
2018,Ryan Gosling,First Man,false,false
2018,Ethan Hawke,First Reformed,false,false
2018,Rami Malek,Bohemian Rhapsody,false,false
2018,Viggo Mortensen,Green Book,false,false
2019,Joaquin Phoenix,Joker,true,false
2019,Antonio Banderas,Pain and Glory,false,false
2019,Robert De Niro,The Irishman,false,false
2019,Leonardo DiCaprio,Once upon a Time...in Hollywood,false,false
2019,Adam Driver,Marriage Story,false,false
2019,Eddie Murphy,Dolemite Is My Name,false,false
2019,Adam Sandler,Uncut Gems,false,false
2020,Chadwick Boseman,Ma Rainey's Black Bottom,true,false
2020,Ben Affleck,The Way Back,false,false
2020,Riz Ahmed,Sound of Metal,false,false
2020,Tom Hanks,News of the World,false,false
2020,Anthony Hopkins,The Father,false,false
2020,Delroy Lindo,Da 5 Bloods,false,false
2020,Gary Oldman,Mank,false,false
2020,Steven Yeun,Minari,false,false
2021,Will Smith,King Richard,true,false
2021,Nicolas Cage,Pig,false,false
2021,Benedict Cumberbatch,The Power of the Dog,false,false
2021,Peter Dinklage,Cyrano,false,false
2021,Andrew Garfield,"tick, tick...BOOM!",false,false
2021,Denzel Washington,The Tragedy of Macbeth,false,false
2022,Brendan Fraser,The Whale,true,false
2022,Austin Butler,Elvis,false,false
2022,Tom Cruise,Top Gun: Maverick,false,false
2022,Colin Farrell,The Banshees of Inisherin,false,false
2022,Paul Mescal,Aftersun,false,false
2022,Bill Nighy,Living,false,false
2023,Paul Giamatti,The Holdovers,true,false
2023,Bradley Cooper,Maestro,false,false
2023,Leonardo DiCaprio,Killers of the Flower Moon,false,false
2023,Colman Domingo,Rustin,false,false
2023,Cillian Murphy,Oppenheimer,false,false
2023,Jeffrey Wright,American Fiction,false,false
2024,Adrien Brody,The Brutalist,true,false
2024,Timothée Chalamet,A Complete Unknown,false,false
2024,Daniel Craig,Queer,false,false
2024,Colman Domingo,Sing Sing,false,false
2024,Ralph Fiennes,Conclave,false,false
2024,Hugh Grant,Heretic,false,false
2025,Timothée Chalamet,Marty Supreme,true,false
2025,Leonardo DiCaprio,One Battle after Another,false,false
2025,Joel Edgerton,Train Dreams,false,false
2025,Ethan Hawke,Blue Moon,false,false
2025,Michael B. Jordan,Sinners,false,false
2025,Wagner Moura,The Secret Agent,false,false
